Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms)
MNIST,LeNet,CPU,Spatial,0,0.127900034,1.56441E+12,27140
MNIST,LeNet,CPU,Spatial,100,0.155900016,1.56441E+12,26945
MNIST,LeNet,CPU,Spatial,200,0.2308999,1.56441E+12,26870
MNIST,LeNet,CPU,Spatial,300,0.320300072,1.56441E+12,26840
MNIST,LeNet,CPU,Spatial,400,0.396199942,1.56441E+12,26861
MNIST,LeNet,CPU,Spatial,500,0.454100072,1.56441E+12,26692
MNIST,LeNet,CPU,Spatial,600,0.513599992,1.56441E+12,27059
MNIST,LeNet,CPU,Spatial,700,0.558300078,1.56441E+12,26647
MNIST,LeNet,CPU,Spatial,800,0.589600027,1.56441E+12,26931
MNIST,LeNet,CPU,Spatial,900,0.619000077,1.56441E+12,26741
MNIST,LeNet,CPU,Spatial,1000,0.64349997,1.56441E+12,26957
MNIST,LeNet,CPU,Spatial,1100,0.660700083,1.56441E+12,27059
MNIST,LeNet,CPU,Spatial,1200,0.675300062,1.56441E+12,26861
MNIST,LeNet,CPU,Spatial,1300,0.693799973,1.56441E+12,26723
MNIST,LeNet,CPU,Spatial,1400,0.704299986,1.56441E+12,27053
MNIST,LeNet,CPU,Spatial,1500,0.717300057,1.56441E+12,27126
MNIST,LeNet,CPU,Spatial,1600,0.72939992,1.56441E+12,27188
MNIST,LeNet,CPU,Spatial,1700,0.739000142,1.56441E+12,26596
MNIST,LeNet,CPU,Spatial,1800,0.735800028,1.56441E+12,26744
MNIST,LeNet,CPU,Spatial,1900,0.749300003,1.56441E+12,27060
MNIST,LeNet,CPU,Spatial,2000,0.755799949,1.56441E+12,27323
MNIST,LeNet,CPU,Spatial,2100,0.765200019,1.56441E+12,26838
MNIST,LeNet,CPU,Spatial,2200,0.768999875,1.56441E+12,27424
MNIST,LeNet,CPU,Spatial,2300,0.771800101,1.56441E+12,26712
MNIST,LeNet,CPU,Spatial,2400,0.777799964,1.56441E+12,26932
MNIST,LeNet,CPU,Spatial,2500,0.780099869,1.56441E+12,26724
MNIST,LeNet,CPU,Spatial,2600,0.783000231,1.56441E+12,26732
MNIST,LeNet,CPU,Spatial,2700,0.788100123,1.56441E+12,27259
MNIST,LeNet,CPU,Spatial,2800,0.797899842,1.56441E+12,26991
MNIST,LeNet,CPU,Spatial,2900,0.80279994,1.56441E+12,26789
MNIST,LeNet,CPU,Spatial,3000,0.798400044,1.56441E+12,26855
MNIST,LeNet,CPU,Spatial,3100,0.802099943,1.56441E+12,26641
MNIST,LeNet,CPU,Spatial,3200,0.807699978,1.56441E+12,26416
MNIST,LeNet,CPU,Spatial,3300,0.813000083,1.56441E+12,26936
MNIST,LeNet,CPU,Spatial,3400,0.808100104,1.56441E+12,26571
MNIST,LeNet,CPU,Spatial,3500,0.811099946,1.56441E+12,26743
MNIST,LeNet,CPU,Spatial,3600,0.815999806,1.56441E+12,26727
MNIST,LeNet,CPU,Spatial,3700,0.819099963,1.56441E+12,26763
MNIST,LeNet,CPU,Spatial,3800,0.822300017,1.56441E+12,27043
MNIST,LeNet,CPU,Spatial,3900,0.822599888,1.56441E+12,27178
MNIST,LeNet,CPU,Spatial,4000,0.828900099,1.56441E+12,26710
MNIST,LeNet,CPU,Spatial,4100,0.828599989,1.56441E+12,27120
MNIST,LeNet,CPU,Spatial,4200,0.828200221,1.56441E+12,26644
MNIST,LeNet,CPU,Spatial,4300,0.830500007,1.56441E+12,26516
MNIST,LeNet,CPU,Spatial,4400,0.82859993,1.56441E+12,26610
MNIST,LeNet,CPU,Spatial,4500,0.838400245,1.56441E+12,27078
MNIST,LeNet,CPU,Spatial,4600,0.839000106,1.56441E+12,27028
MNIST,LeNet,CPU,Spatial,4700,0.839300394,1.56441E+12,26607
MNIST,LeNet,CPU,Spatial,4800,0.839100063,1.56441E+12,26947
MNIST,LeNet,CPU,Spatial,4900,0.841800332,1.56441E+12,27128
MNIST,LeNet,CPU,Spatial,5000,0.840199888,1.56441E+12,26969
MNIST,LeNet,CPU,Spatial,5100,0.844900072,1.56441E+12,27262
MNIST,LeNet,CPU,Spatial,5200,0.845300138,1.56441E+12,27300
MNIST,LeNet,CPU,Spatial,5300,0.850600123,1.56441E+12,26915
MNIST,LeNet,CPU,Spatial,5400,0.848700106,1.56441E+12,26746
MNIST,LeNet,CPU,Spatial,5500,0.849400043,1.56441E+12,26758
MNIST,LeNet,CPU,Spatial,5600,0.852200329,1.56441E+12,26985
MNIST,LeNet,CPU,Spatial,5700,0.850200057,1.56441E+12,26737
MNIST,LeNet,CPU,Spatial,5800,0.85680002,1.56441E+12,27313
MNIST,LeNet,CPU,Spatial,5900,0.851200163,1.56441E+12,26818
MNIST,LeNet,CPU,Spatial,6000,0.852600276,1.56441E+12,26914
MNIST,LeNet,CPU,Spatial,6100,0.852900147,1.56441E+12,26813
MNIST,LeNet,CPU,Spatial,6200,0.852000117,1.56441E+12,26763
MNIST,LeNet,CPU,Spatial,6300,0.860500276,1.56441E+12,26775
MNIST,LeNet,CPU,Spatial,6400,0.860600114,1.56441E+12,26771
MNIST,LeNet,CPU,Spatial,6500,0.859400272,1.56441E+12,27093
MNIST,LeNet,CPU,Spatial,6600,0.858399987,1.56441E+12,26764
MNIST,LeNet,CPU,Spatial,6700,0.860199988,1.56441E+12,26934
MNIST,LeNet,CPU,Spatial,6800,0.861400306,1.56441E+12,26788
MNIST,LeNet,CPU,Spatial,6900,0.865199983,1.56441E+12,26725
MNIST,LeNet,CPU,Spatial,7000,0.862900138,1.56441E+12,26941
MNIST,LeNet,CPU,Spatial,7100,0.868600249,1.56441E+12,26779
MNIST,LeNet,CPU,Spatial,7200,0.868100286,1.56441E+12,26757
MNIST,LeNet,CPU,Spatial,7300,0.867800117,1.56441E+12,26827
MNIST,LeNet,CPU,Spatial,7400,0.867200136,1.56441E+12,26667
MNIST,LeNet,CPU,Spatial,7500,0.868000209,1.56441E+12,26727
MNIST,LeNet,CPU,Spatial,7600,0.868300021,1.56441E+12,26928
MNIST,LeNet,CPU,Spatial,7700,0.867900372,1.56441E+12,26861
MNIST,LeNet,CPU,Spatial,7800,0.869399726,1.56441E+12,27169
MNIST,LeNet,CPU,Spatial,7900,0.869300067,1.56441E+12,26893
MNIST,LeNet,CPU,Spatial,8000,0.870800197,1.56441E+12,26892
MNIST,LeNet,CPU,Spatial,8100,0.87259984,1.56441E+12,27049
MNIST,LeNet,CPU,Spatial,8200,0.869900048,1.56441E+12,26965
MNIST,LeNet,CPU,Spatial,8300,0.868400216,1.56441E+12,26637
MNIST,LeNet,CPU,Spatial,8400,0.873500049,1.56441E+12,26968
MNIST,LeNet,CPU,Spatial,8500,0.875400007,1.56441E+12,27111
MNIST,LeNet,CPU,Spatial,8600,0.873399913,1.56441E+12,27008
MNIST,LeNet,CPU,Spatial,8700,0.874300182,1.56441E+12,26730
MNIST,LeNet,CPU,Spatial,8800,0.874000251,1.56441E+12,26905
MNIST,LeNet,CPU,Spatial,8900,0.874900222,1.56441E+12,26974
MNIST,LeNet,CPU,Spatial,9000,0.880200148,1.56441E+12,26669
MNIST,LeNet,CPU,Spatial,9100,0.874100327,1.56441E+12,26748
MNIST,LeNet,CPU,Spatial,9200,0.876900077,1.56441E+12,26673
MNIST,LeNet,CPU,Spatial,9300,0.877499938,1.56441E+12,26831
MNIST,LeNet,CPU,Spatial,9400,0.881299973,1.56441E+12,26755
MNIST,LeNet,CPU,Spatial,9500,0.878499806,1.56441E+12,27082
MNIST,LeNet,CPU,Spatial,9600,0.883100271,1.56441E+12,26621
MNIST,LeNet,CPU,Spatial,9700,0.880700231,1.56441E+12,26696
MNIST,LeNet,CPU,Spatial,9800,0.881099999,1.56441E+12,27327
MNIST,LeNet,CPU,Spatial,9900,0.883100033,1.56441E+12,26998
MNIST,LeNet,CPU,Spatial,10000,0.879499972,1.56441E+12,
