Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,,,,,,,,
MNIST,LeNet,GPU,Winograd,0,0.098900013,1.56E+12,695,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,100,0.585500002,1.56E+12,699,,700.4,,,Data,Net,MODE,Domain,Execution time per 100 iteration(~ms),
MNIST,LeNet,GPU,Winograd,200,0.694099963,1.56E+12,699,,,,,MNIST,LeNet,GPU,Spatial,1360,
MNIST,LeNet,GPU,Winograd,300,0.741900027,1.56E+12,698,,,,,MNIST,LeNet,GPU,Winograd,700,
MNIST,LeNet,GPU,Winograd,400,0.769600153,1.56E+12,698,,,,,MNIST,LeNet,CPU,Spatial,26500,
MNIST,LeNet,GPU,Winograd,500,0.795700014,1.56E+12,698,,,,,MNIST,LeNet,CPU,Winograd,42600,
MNIST,LeNet,GPU,Winograd,600,0.810999632,1.56E+12,696,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,700,0.825299978,1.56E+12,698,,,,,CIFAR10,VGG16,GPU,Spatial,44080,
MNIST,LeNet,GPU,Winograd,800,0.838999987,1.56E+12,700,,,,,CIFAR10,VGG16,GPU,Winograd,12890,
MNIST,LeNet,GPU,Winograd,900,0.848699629,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1000,0.855900049,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1100,0.864999831,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1200,0.866799831,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1300,0.869599938,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1400,0.87379998,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1500,0.87929976,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1600,0.883399904,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1700,0.887899995,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1800,0.88989985,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,1900,0.889699936,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2000,0.893899918,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2100,0.895900011,1.56E+12,695,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2200,0.898600101,1.56E+12,697,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2300,0.901699841,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2400,0.901699901,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2500,0.901999712,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2600,0.905100048,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2700,0.907499909,1.56E+12,698,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2800,0.908800125,1.56E+12,702,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,2900,0.910100043,1.56E+12,700,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3000,0.909999847,1.56E+12,699,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3100,0.910700083,1.56E+12,704,,,,,,,,,,
MNIST,LeNet,GPU,Winograd,3200,0.912800014,1.56E+12,696,,,,,,,,,,
