Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,0,0.1328125,1.56444E+12,36740,,,
CIFAR10,VGG,GPU,Spatial,100,0.1015625,1.56444E+12,36264,,,44080.04587
CIFAR10,VGG,GPU,Spatial,200,0.1171875,1.56444E+12,36386,,,
CIFAR10,VGG,GPU,Spatial,300,0.1171875,1.56444E+12,36405,,,
CIFAR10,VGG,GPU,Spatial,400,0.1328125,1.56444E+12,36547,,,
CIFAR10,VGG,GPU,Spatial,500,0.1484375,1.56444E+12,36554,,,
CIFAR10,VGG,GPU,Spatial,600,0.1171875,1.56444E+12,36558,,,
CIFAR10,VGG,GPU,Spatial,700,0.1640625,1.56444E+12,36562,,,
CIFAR10,VGG,GPU,Spatial,800,0.203125,1.56444E+12,36562,,,
CIFAR10,VGG,GPU,Spatial,900,0.25,1.56444E+12,113110,,,
CIFAR10,VGG,GPU,Spatial,1000,0.2265625,1.56444E+12,36564,,,
CIFAR10,VGG,GPU,Spatial,1100,0.2890625,1.56444E+12,36568,,,
CIFAR10,VGG,GPU,Spatial,1200,0.4765625,1.56444E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,1300,0.2890625,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,1400,0.4453125,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,1500,0.546875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,1600,0.5078125,1.56444E+12,36600,,,
CIFAR10,VGG,GPU,Spatial,1700,0.53125,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,1800,0.65625,1.56444E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,1900,0.6171875,1.56444E+12,113141,,,
CIFAR10,VGG,GPU,Spatial,2000,0.6484375,1.56444E+12,36574,,,
CIFAR10,VGG,GPU,Spatial,2100,0.6796875,1.56444E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,2200,0.7265625,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,2300,0.71875,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,2400,0.7890625,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,2500,0.671875,1.56444E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,2600,0.71875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,2700,0.8046875,1.56444E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,2800,0.8203125,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,2900,0.734375,1.56444E+12,113129,,,
CIFAR10,VGG,GPU,Spatial,3000,0.7890625,1.56444E+12,36576,,,
CIFAR10,VGG,GPU,Spatial,3100,0.78125,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,3200,0.84375,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,3300,0.828125,1.56444E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,3400,0.8359375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,3500,0.8125,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,3600,0.8125,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,3700,0.8671875,1.56444E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,3800,0.796875,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,3900,0.890625,1.56444E+12,113134,,,
CIFAR10,VGG,GPU,Spatial,4000,0.890625,1.56444E+12,36568,,,
CIFAR10,VGG,GPU,Spatial,4100,0.8203125,1.56444E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,4200,0.875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,4300,0.8671875,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,4400,0.8203125,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,4500,0.8828125,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,4600,0.859375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,4700,0.8671875,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,4800,0.90625,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,4900,0.8515625,1.56444E+12,113144,,,
CIFAR10,VGG,GPU,Spatial,5000,0.890625,1.56444E+12,36569,,,
CIFAR10,VGG,GPU,Spatial,5100,0.890625,1.56444E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,5200,0.8515625,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,5300,0.8515625,1.56444E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,5400,0.921875,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,5500,0.890625,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,5600,0.90625,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,5700,0.875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,5800,0.9375,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,5900,0.890625,1.56444E+12,113135,,,
CIFAR10,VGG,GPU,Spatial,6000,0.9140625,1.56444E+12,36573,,,
CIFAR10,VGG,GPU,Spatial,6100,0.890625,1.56444E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,6200,0.96875,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,6300,0.8984375,1.56444E+12,36594,,,
