Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,,
CIFAR10,VGG,GPU,Winograd,0,0.109375,1.56443E+12,12123,,,,
CIFAR10,VGG,GPU,Winograd,100,0.1328125,1.56443E+12,11662,,,,
CIFAR10,VGG,GPU,Winograd,200,0.140625,1.56443E+12,11681,,,,
CIFAR10,VGG,GPU,Winograd,300,0.0703125,1.56443E+12,11687,,,,12890.00187
CIFAR10,VGG,GPU,Winograd,400,0.140625,1.56443E+12,11714,,,,
CIFAR10,VGG,GPU,Winograd,500,0.140625,1.56443E+12,11718,,,,
CIFAR10,VGG,GPU,Winograd,600,0.078125,1.56443E+12,11718,,,,
CIFAR10,VGG,GPU,Winograd,700,0.1484375,1.56443E+12,11717,,,,
CIFAR10,VGG,GPU,Winograd,800,0.09375,1.56443E+12,11720,,,,
CIFAR10,VGG,GPU,Winograd,900,0.1484375,1.56443E+12,22005,,,,
CIFAR10,VGG,GPU,Winograd,1000,0.125,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,1100,0.125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,1200,0.140625,1.56443E+12,11752,,,,
CIFAR10,VGG,GPU,Winograd,1300,0.125,1.56443E+12,11752,,,,
CIFAR10,VGG,GPU,Winograd,1400,0.171875,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,1500,0.1953125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,1600,0.2265625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,1700,0.140625,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,1800,0.1484375,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,1900,0.15625,1.56443E+12,22267,,,,
CIFAR10,VGG,GPU,Winograd,2000,0.1171875,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,2100,0.1484375,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,2200,0.1640625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,2300,0.2109375,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,2400,0.203125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,2500,0.1328125,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,2600,0.15625,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,2700,0.1796875,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,2800,0.171875,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,2900,0.21875,1.56443E+12,22258,,,,
CIFAR10,VGG,GPU,Winograd,3000,0.109375,1.56443E+12,11760,,,,
CIFAR10,VGG,GPU,Winograd,3100,0.1328125,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,3200,0.1875,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,3300,0.1875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,3400,0.15625,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,3500,0.203125,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,3600,0.171875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,3700,0.203125,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,3800,0.25,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,3900,0.171875,1.56443E+12,22267,,,,
CIFAR10,VGG,GPU,Winograd,4000,0.1640625,1.56443E+12,11759,,,,
CIFAR10,VGG,GPU,Winograd,4100,0.1796875,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,4200,0.140625,1.56443E+12,11758,,,,
CIFAR10,VGG,GPU,Winograd,4300,0.15625,1.56443E+12,11752,,,,
CIFAR10,VGG,GPU,Winograd,4400,0.1796875,1.56443E+12,11754,,,,
CIFAR10,VGG,GPU,Winograd,4500,0.1171875,1.56443E+12,11755,,,,
CIFAR10,VGG,GPU,Winograd,4600,0.15625,1.56443E+12,11753,,,,
CIFAR10,VGG,GPU,Winograd,4700,0.2265625,1.56443E+12,11757,,,,
CIFAR10,VGG,GPU,Winograd,4800,0.1640625,1.56443E+12,11756,,,,
CIFAR10,VGG,GPU,Winograd,4900,0.1640625,1.56443E+12,22261,,,,
