Data,Net,MODE,Domain,Sparsity,Accuracy: Spatial,Accuracy: Winograd,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,10,1,1,36740,,,
CIFAR10,VGG,GPU,Spatial,11,1,1,36264,,,44080.04587
CIFAR10,VGG,GPU,Spatial,12,0.920041145,1,36386,,,
CIFAR10,VGG,GPU,Spatial,13,0.920041145,1,36405,,,
CIFAR10,VGG,GPU,Spatial,14,0.920041145,1,36547,,,
CIFAR10,VGG,GPU,Spatial,15,0.920041145,1,36554,,,
CIFAR10,VGG,GPU,Spatial,16,0.920041145,1,36558,,,
CIFAR10,VGG,GPU,Spatial,17,0.920041145,1,36562,,,
CIFAR10,VGG,GPU,Spatial,18,0.920041145,1,36562,,,
CIFAR10,VGG,GPU,Spatial,19,0.919941145,1,113110,,,
CIFAR10,VGG,GPU,Spatial,20,0.918941145,0.967062077,36564,,,
CIFAR10,VGG,GPU,Spatial,21,0.917941145,0.967062077,36568,,,
CIFAR10,VGG,GPU,Spatial,22,0.916941145,0.967062077,36581,,,
CIFAR10,VGG,GPU,Spatial,23,0.915941145,0.967062077,36590,,,
CIFAR10,VGG,GPU,Spatial,24,0.914941145,0.967062077,36590,,,
CIFAR10,VGG,GPU,Spatial,25,0.913941145,0.967062077,36594,,,
CIFAR10,VGG,GPU,Spatial,26,0.887012074,0.967062077,36600,,,
CIFAR10,VGG,GPU,Spatial,27,0.886012074,0.967062077,36596,,,
CIFAR10,VGG,GPU,Spatial,28,0.800267511,0.967062077,36592,,,
CIFAR10,VGG,GPU,Spatial,29,0.799267511,0.967062077,113141,,,
CIFAR10,VGG,GPU,Spatial,30,0.798267511,0.967062077,36574,,,
CIFAR10,VGG,GPU,Spatial,31,0.797267511,0.967062077,36587,,,
CIFAR10,VGG,GPU,Spatial,32,0.78327287,0.967062077,36596,,,
CIFAR10,VGG,GPU,Spatial,33,0.78227287,0.967062077,36595,,,
CIFAR10,VGG,GPU,Spatial,34,0.78127287,0.967062077,36597,,,
CIFAR10,VGG,GPU,Spatial,35,0.78027287,0.967062077,36599,,,
CIFAR10,VGG,GPU,Spatial,36,0.77927287,0.967062077,36594,,,
CIFAR10,VGG,GPU,Spatial,37,0.77827287,0.908467917,36598,,,
CIFAR10,VGG,GPU,Spatial,38,0.77727287,0.908467917,36595,,,
CIFAR10,VGG,GPU,Spatial,39,0.77627287,0.908467917,113129,,,
CIFAR10,VGG,GPU,Spatial,40,0.77527287,0.908467917,36576,,,
CIFAR10,VGG,GPU,Spatial,41,0.754765524,0.908467917,36590,,,
CIFAR10,VGG,GPU,Spatial,42,0.753765524,0.908467917,36597,,,
CIFAR10,VGG,GPU,Spatial,43,0.752765524,0.908467917,36598,,,
CIFAR10,VGG,GPU,Spatial,44,0.601752779,0.908467917,36596,,,
CIFAR10,VGG,GPU,Spatial,45,0.600752779,0.908467917,36596,,,
CIFAR10,VGG,GPU,Spatial,46,0.572872051,0.908467917,36595,,,
CIFAR10,VGG,GPU,Spatial,47,0.571872051,0.908467917,36599,,,
CIFAR10,VGG,GPU,Spatial,48,0.570872051,0.908467917,36593,,,
CIFAR10,VGG,GPU,Spatial,49,0.552661706,0.908467917,113134,,,
CIFAR10,VGG,GPU,Spatial,50,0.479112952,0.908467917,36568,,,
CIFAR10,VGG,GPU,Spatial,51,0.472827781,0.908467917,36587,,,
CIFAR10,VGG,GPU,Spatial,52,0.45315812,0.908467917,36594,,,
CIFAR10,VGG,GPU,Spatial,53,0.45215812,0.908467917,36597,,,
CIFAR10,VGG,GPU,Spatial,54,0.45115812,0.908467917,36597,,,
CIFAR10,VGG,GPU,Spatial,55,0.400997311,0.908467917,36594,,,
